Type,Access,Type,Access,Газар нэгж,Албан тушаал
Full-Time,View,Үндсэн,View,Бизнес хөгжлийн газар,NOC инженер
Consultant,Read,Зөвлөх,Read,Борлуулалтын газар ,Борлуулалтын ахлах менежер
Intern,Write,Дадлагажигч,Write,"Захиргаа, хүний нөөцийн газар",Борлуулалтын газрын захирал
Trainee,Print,Суралцагч,Print,Маркетингийн нэгж,Борлуулалтын менежер
Contractor,Full,Гэрээт,Full,Маркетингийн нэгж,График дизайнер
,Admin,,Admin,"Санхүү, бүртгэлийн газар ",Гүйцэтгэх захирал
,Privilege,,Privilege,Техник ашиглалтын газар,Дадлагажигч оюутан
,No Access,,No Access,Техник ашиглалтын газар,"Захиргаа, хүний нөөцийн газрын захирал"
,,,,Техник төлөвлөлтийн газар,"Захиргаа, хүний нөөцийн мэргэжилтэн"
,,,,Харилцагчийн төв,Зөвлөх
,,,,Хөгжүүлэлтийн газар,Маркетингийн ахлах менежер
,,,,Хэрэглэгчийг халамжлах газар,Маркетингийн менежер
,,,,,Нягтлан бодогч
,,,,,Оффис администратор
,,,,,Санхүү бүртгэлийн газрын захирал
,,,,,"Сургалт, хүний нөөцийн мэргэжилтан"
,,,,,Сургалтын менежер
,,,,,Суурилуулалтын инженер
,,,,,"Техник, ашиглалтын газрын захирал"
,,,,,Техникийн ахлах инженер
,,,,,Техникийн инженер (Tier 2)
,,,,,Техникийн инженер (Tier 3)
,,,,,Хүний нөөцийн мэргэжилтэн
